TILE_ID,NUMBER,ra,dec,CLASS_STAR,uJAVA,J0378,J0395,J0410,J0430,gSDSS,J0515,rSDSS,J0660,iSDSS,J0861,zSDSS,StellarLoMaR,isTrain,isSimbad,High_confidence,teff_lasp,logg_lasp,feh_lasp
90382,11078,149.9147604,40.22868231,1,18.0354481,17.6267128,17.7690601,17.0741806,17.0015602,16.5694084,16.3945312,16.0598736,15.9914856,15.8547287,15.8349133,15.776372,0.698730469,0,0,0,,,
90382,12906,149.2283258,40.70618438,1,16.963377,16.6425934,16.6307106,16.076231,16.0204945,15.5764675,15.3825703,15.006073,14.9208164,14.7769499,14.71595,14.6821356,0.827636719,0,0,0,,,
90382,16900,149.5589345,40.46598464,0.978,17.7285957,17.3292084,17.2931938,16.8292084,16.7396736,16.4278984,16.2956066,15.9925671,15.9446478,15.8251534,15.7817125,15.7735081,0.769042969,0,0,0,,,
90382,20810,149.0592598,40.83489324,0.877,15.9974556,15.6881638,15.6493435,15.2350483,15.1958027,14.9437656,14.8407707,14.6606064,14.6553459,14.5928497,14.5967636,14.5940924,0.732421875,0,0,0,,,
90382,21753,149.5033775,40.7443309,0.999,16.6018219,16.2322845,16.257988,15.5046511,15.3690262,14.8239574,14.6187534,14.1607389,14.063674,13.8812199,13.7952757,13.7601194,0.952148438,0,0,1,,,
90393,408,151.8036833,39.48692432,0.99,17.8242664,17.4443245,17.4040241,16.7124271,16.6122551,16.0609207,15.862586,15.4480743,15.3454189,15.1702766,15.0732183,15.0697842,0.794433594,0,0,0,,,
90393,1812,151.7583933,39.58920682,0.999,15.7776794,15.4807034,15.3633099,15.0411463,14.9738417,14.7039747,14.5987873,14.3540287,14.3246403,14.2188807,14.1967916,14.1938705,0.641113281,0,0,0,5341.08,3.272,-1.813
90393,9202,151.4688366,40.08608862,0.875,15.3870697,14.9014826,14.8561201,14.4579268,14.356554,14.093647,13.9566402,13.7071724,13.6654301,13.5592918,13.5277214,13.5141621,0.867675781,1,0,0,5331.76,2.72,-1.566
90393,11038,150.3508484,40.81560841,0.999,17.3488312,16.9059315,16.8912849,16.2134342,16.073658,15.53827,15.3447886,14.8735971,14.7803373,14.6045933,14.5080576,14.4792805,0.948730469,0,0,0,,,
90393,12227,150.1710788,40.71826816,0.894,16.6984882,16.3660851,16.3137455,15.9504099,15.8542871,15.5230856,15.3781004,15.0551586,15.0038118,14.8625546,14.791893,14.7898436,0.890136719,0,0,0,,,
90393,12913,151.2286006,40.6631153,1,17.7473869,17.4411831,17.522192,16.9279747,16.8935413,16.4358025,16.2539539,15.9270611,15.8490915,15.7170839,15.6344137,15.633112,0.717773438,0,0,0,,,
90393,13347,151.5015036,40.63969802,0.987,17.3846588,17.1069508,17.1919823,16.4540958,16.3767567,15.9221754,15.7422266,15.3774624,15.3209543,15.1666698,15.1259346,15.0932236,0.623046875,0,0,0,,,
